'document name', 'assignment ID', 'worker ID', 'sentiment', 'data', 'agree', 'response','likert_agree','survey_agree','tech_score'
lyft.com/Privacy Policy .html,3HFNH7HEMIYH9N292H21I83JIFGGQX,AZYUCL6B0YROY,positive,"6fcd874cfbf, 3bed2d03361, eee3d4849cc, 860213b96b9, 9b2b5c661dd, ec9ce20cebc, 99b5f17bca6",Yes,"The mutual friends sharing seemed like a really terrible idea to me, maybe the most concerning. I was glad to see that opting out was an option later in the in agreement.",None,None,0
lyft.com/Privacy Policy .html,3HFNH7HEMIYH9N292H21I83JIFGGQX,AZYUCL6B0YROY,negative,"40258b5ba6a, 4a649d5f1ec, fb48cbd1fd7, 2e3c30b4749, 5c52248618e, ac87670b423, 26b60361fac, 66d96c7c3b0, 937c8a2acef, 45d7c67c2d3, 300a86799d3, 06e773f8ee3, 1b20d81e658, 4e70c873054, 896991e52ba, d68307c19be, 2693da60949, 677014ba23d",Yes,"The mutual friends sharing seemed like a really terrible idea to me, maybe the most concerning. I was glad to see that opting out was an option later in the in agreement.",None,None,0
facebook.com/Terms of Service.html,37ZHEEHM6X669TL6B3MBZNXF9KI37D,AZPDS7GD4ICN2,positive,"bcd5da11920, 08a30117ef7, f1ec3bd143a, 434cd1ca9b3, 708d2deb424, 8d0999f0298, 71cafc4aa7e, b83f5610249, f860d0cd3cd, a5e7356bc64, bf6fc888bc3, d6c7785e854, d7626753ef6, 58a99d36678",No,"I don't like the part where they say they have the right to use your uploaded videos, etc.",None,None,0
facebook.com/Terms of Service.html,37ZHEEHM6X669TL6B3MBZNXF9KI37D,AZPDS7GD4ICN2,negative,"2df637c6f95, 359cc97c92c, cb78c7c7cef, dee0c593a50, 36464860b3f, 367eb0bb874, 3e07ce23e7e, 238e8a9886f, b4399e0a72f, 7ef3de685dc, 166dab2207f, eb2455feed0",No,"I don't like the part where they say they have the right to use your uploaded videos, etc.",None,None,0
google.com/Privacy Policy.html,32RIADZISTODANO2ZKP54JLHAYY4ST,A10B427PT8DMLL,positive,"83503ba4fe5, 9ec5ad5228f, 302bf666263, 1ea950b8c58, c304ae39455, 7059e6ed20e",No,"Even though it is explained thoroughly how all the collected data is treated, I still don't feel safe agreeing to something like that because of the recent news with facebook and so on. I also don't feel like it is necessary for me personally, to tailor all these things mentioned to me.",None,None,0
google.com/Privacy Policy.html,32RIADZISTODANO2ZKP54JLHAYY4ST,A10B427PT8DMLL,negative,"4aaa624a692, 90a0c5cd21e, 4a0a2a6aec0",No,"Even though it is explained thoroughly how all the collected data is treated, I still don't feel safe agreeing to something like that because of the recent news with facebook and so on. I also don't feel like it is necessary for me personally, to tailor all these things mentioned to me.",None,None,0
amazonprimevideo.com/Terms of Service.html,3C8HJ7UOP8EQFPZM0GJ9M6ZKJ5ZMZT,AGJZZWAZKHM5Q,positive,"9aec09b58ed, 2240f69d3cc, ab33e3b3092",Yes,"It's not the greatest, but it is rather boiler-plate, so there's not a lot of wiggle room as a consumer.",None,None,0
amazonprimevideo.com/Terms of Service.html,3C8HJ7UOP8EQFPZM0GJ9M6ZKJ5ZMZT,AGJZZWAZKHM5Q,negative,"0f620e877b4, 85d0e13ea37, dca613ebe82, b65be17edd6, e5826d1b350, 24e6b1ce2fc, 9fcc16423b2",Yes,"It's not the greatest, but it is rather boiler-plate, so there's not a lot of wiggle room as a consumer.",None,None,0
lyft.com/Privacy Policy .html,3H7XDTSHKDBMTKYVEQ17AXL57CKWGX,ATCLJ76UM7MUD,positive,"41c84055eda, 06873157d31, 2e3c30b4749, d4c33b5dcb5, 62d7ffe1462, eabe91cc146, 66d96c7c3b0, b2acf8dc972, d1f35eed53f, 3c2c1ab175f, a3363ed2475, 150d1637912, 383e7e2a984, debbd708247",Yes,"If I were to use this app, this seems like all of the things that would be required for the app to work, except giving information to law enforcement if there isn't any legal recourse associated with it. ",9,No,46
lyft.com/Privacy Policy .html,3H7XDTSHKDBMTKYVEQ17AXL57CKWGX,ATCLJ76UM7MUD,negative,"40258b5ba6a, 2139a04dccf, 3c723957e20, 153c24a9fc4, 04f52830f43, ac87670b423, 300a86799d3, 06e773f8ee3, 1b20d81e658, 4e70c873054, d92ef19057f, 46c85e8ea80, 896991e52ba",Yes,"If I were to use this app, this seems like all of the things that would be required for the app to work, except giving information to law enforcement if there isn't any legal recourse associated with it. ",9,No,46
google.com/Privacy Policy.html,3ZR9AIQJUCTD9E4QQI6LUDFYG2Y40I,AC05CZ95ORIMY,positive,"95d8aa7974a, 786d57172d2, a22c5f9b81b, 8f22fed33f8, 17fedabe9c5, a69239d5c2f, 9ec5ad5228f, 171724eb6c2, 4e6aef273e4, 07198b6fd85, c304ae39455, 4cfdc89f703, 9dba26406bf, 25c02697078",No,"I would be giving up too much of my personal data and security to be potentially made public.  Although there are controls, there is not way knowing exactly what is being captured and how they intend on using it and preventing others to misuse persona data.  ",5,Yes,48
google.com/Privacy Policy.html,3ZR9AIQJUCTD9E4QQI6LUDFYG2Y40I,AC05CZ95ORIMY,negative,"4aaa624a692, d2e50ad3e66, 720a75df4b3, e380726b106, ca8ee6a8bb9, 90a0c5cd21e",No,"I would be giving up too much of my personal data and security to be potentially made public.  Although there are controls, there is not way knowing exactly what is being captured and how they intend on using it and preventing others to misuse persona data.  ",5,Yes,48
